ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5444,Solareff Rooftop PV Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"67,936",Africa,,2023-07-01,2030-06-30
5445,Noor 2 Abu Dhabi Street Lighting Project,Nojoom Project Company Streetlighting Installation Repair and Maintenance LLC,Energy demand,,AMS-II.C.,Under validation,United Arab Emirates,"106,095",Middle East,,2024-03-06,2034-03-05
5443,SANTOS LANDFILL GAS PROJECT,Raizen Gera Desenvolvedora S.A.,Waste handling and disposal,,ACM0001,Under validation,Brazil,"499,067",Latin America,,2023-06-01,2030-05-31
5441,OYU - Powering South African SMEs with Clean Energy,OYU Green Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"84,130",,,2024-03-01,2031-02-28
5438,ART Line T4 in Yibin,YIBIN AUTONOMOUS-RAIL TRANSIT CO.，LTD.,Transport,,ACM0016,Under validation,China,"2,019",,,2023-06-26,2044-06-25
5436,CATANDUVA LANDFILL GAS PROJECT,UniCarbo Energia e Biogas Ltda.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Brazil,"109,042",Latin America,,2023-06-01,2030-05-31
5434,GHG EMISSIONS REDUCTION THROUGH THE  EXPANSION OF DUFERCO MOBILITY’S EV  CHARGING STATION NETWORK,Duferco Mobility Srl,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Under validation,Italy,"7,966",Europe,,2024-10-01,2034-09-30
5433,Project Colobus | Forest Ecosystem Restoration In Eastern Ghana,Rainforest Builder Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Ghana,"202,313",Africa,,2025-03-01,2065-02-28
5430,Cultivar Progresso REDD+ Project,Nova-Agri Infra-Estrutura De Armazenagem E Escoamento Agricola S.A.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,"57,983",Latin America,,2024-01-01,2043-12-31
5424,Ecofy EV Green Financing Project,Multiple Proponents,Transport,,AMS-I.F.; AMS-III.C.,Under validation,India,"19,168",Asia,,2023-07-26,2033-07-25
5423,"Small scale grouped hydropower project by Phongsubthavy Group Sole Co., Ltd","Phongsubthavy Group Sole Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,Lao,"20,615",Asia,,,
5419,SK Electlink EV Charging Carbon Offset Project,"SK electlink Co.,Ltd.",Energy industries (renewable/non-renewable sources); Transport,,VM0038,Under validation,South Korea,"386,723",Asia,,2023-05-01,2033-04-30
5418,Salvador WMA Baldcypress Restoration Project,"Restore the Earth Foundation, Inc.",Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,United States,"61,778",North America,,2022-02-01,2122-01-31
5416,Saxon EVolve Program – EV Charging System Grouped Project,SAXON RENEWABLE ENERGY SDN BHD,Transport,,VM0038,Under validation,Malaysia,16,Asia,,2024-02-03,2031-02-02
5417,Bosland Growth—Appalachian Mineland Reforestation,"Bosland Growth, LLC",Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,United States,"6,591",North America,,2024-10-15,2084-10-14
5415,Vale do Rio Branco REDD+ Grouped Project,ZEG Florestal S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Under development,Brazil,"164,017",Latin America,,2025-01-01,2064-12-31
5412,Hubei Improved Cropland Management Project Phase I,Tanda carbon asset management company limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,"98,697",Asia,,2023-10-10,2033-10-09
5413,Coolpath Veles Rangeland Restoration Project,CoolPath Veles LLC,Agriculture Forestry and Other Land Use; Carbon capture and storage,ALM,VM0042,Under development,United States,"100,000",North America,,,
5414,Guizhou Tianzhiyuan E-waste recycling and treatment project,"Guizhou Tianzhiyuan Environmental Protection Technology Development Co., Ltd.",Waste handling and disposal,,VM0008,Under validation,China,"23,106",,,2023-06-12,2030-06-11
5408,Tongyi CMM Power Generation Project,"Pingding County Yonder Coal Mine Methane Utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"172,394",Asia,,2024-09-14,2034-09-13
5410,Zhangcun CMM Power Generation Project,"Xiangyuan County Yonder Coal Mine Methane Utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"142,671",Asia,,2024-04-20,2034-04-19
5411,Wulihou CMM Power Generation Project,"Zuoquan County Yonder Coal Mine Methane Utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"101,057",Asia,,2024-09-25,2034-09-24
5404,Atebubu and Wiase Forest Landscape Restoration Project,iNovaLand Investment Ltd,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Ghana,"109,853",Africa,,2022-05-01,2052-04-30
5402,Improved Forest Management Project in the Mesopotamia Region of Argentina,Vista Energy Argentina SAU,Agriculture Forestry and Other Land Use,IFM,VM0003,Under validation,Argentina,"4,354",Latin America,,2023-09-25,2066-09-24
5403,Reforestation Project in Northern Argentina,Vista Energy Argentina SAU,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Argentina,"34,188",Latin America,,2024-07-31,2059-07-30
5401,"Regenerating Landscapes: Smallholder Farmers Agroforestry Initiative in Tamil Nadu, India",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"424,726",Asia,,2024-12-19,2058-12-18
5400,Mangrove Restoration and Biodiversity Conservation for Coastal Communities of India,Erda Illumine Low Carbon Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,India,"82,861",Asia,,2025-01-01,2124-12-31
5399,Regenerating Rajasthan - Climate Aligned Economic Development,MEWAR CLIMATE REGENERATIVE PRIVATE LIMITED,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"223,066",Asia,,2023-09-09,2053-09-08
5398,La Florida Afforestation project with exotic and native species in Northeast Argentina,GMF Latinoamericana S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,"15,151",Latin America,,,
5396,Wonegizi REDD+ Pilot Project,Fauna & Flora International,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Liberia,"114,798",Africa,,2022-01-01,2061-12-31
5397,Impact Forestry: 2024 Project 1,Arbonics OU,Agriculture Forestry and Other Land Use,IFM,VM0045,Under development,Estonia,"2,374,939",Europe,,2024-09-24,2064-09-23
5395,Peatland Restoration Republic of Ireland,Wilderway B.V.,Agriculture Forestry and Other Land Use,WRC,VM0036,Under development,Ireland,"1,296",Europe,,2024-09-23,2074-09-22
5393,"FOREST CARBON FIXATION IN THE AREA OF INFLUENCE OF THE SANTA BARBARA MOUNTAIN, SANTA BARBARA, HONDURAS.",Higuertropic de Honduras,Agriculture Forestry and Other Land Use; Carbon capture and storage,,VM0048,Under validation,Honduras,"1,427,022",Latin America,,2024-12-06,2054-12-05
5389,Mombak Reforesting Brazil at Scale - Project 1,Samauma Florestal SA,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Brazil,"58,627",Latin America,,2023-03-31,2073-03-30
5391,COLORADO REDD AUD PROJECT,COLORADO EMPREENDIMENTOS SUSTENTAVEIS LTDA,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,"26,638",Latin America,,2022-01-01,2061-12-31
5392,The regenerative and eco-oriented agriculture project in Ukraine,"CarbonEx Ukraine, LLC",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Ukraine,"1,242,240",Europe,,2025-04-01,2045-03-31
5388,"Safe Drinking Water Program in Sindh, Pakistan",United Energy Group Limited,Energy demand,,AMS-III.AV.,Under validation,Pakistan,"17,833",Asia,,2023-06-22,2033-06-21
5386,ARR REECO Fronteiras Verdes,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"166,649",Latin America,,2024-12-23,2071-12-22
5387,ARR Renascer das Serras,Biofilica Ambipar Environmental Investments S.A,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"122,326",Latin America,,2024-12-23,2076-12-22
5383,Agroforestry plantations in Karnataka for greener tomorrow,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"55,290",Asia,,2022-01-15,2042-01-14
5385,AF MADERA HIGH QUALITY TIMBER ON  SILVOPASTORAL PROJECT,AF Madera S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Paraguay,"26,260",Latin America,,2021-12-07,2041-12-06
5380,Stealth Energy Efficient Lighting Project,Multiple Proponents,Energy demand,,AMS-II.C.,Under validation,South Africa,"298,422",Africa,,2024-10-01,2031-09-30
5381,Alien Energy Biomass Waste to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under development,South Africa,"106,535",Africa,,2023-10-01,2030-09-30
